Cnt,Particle,Generation,Kpx,Kpa,Kda,MaxAngle, Overshoot, J
418,68,6,41.747552,100,0.02507,22.104901,16.115759,68.59054
419,69,6,0,0.6515,0.004455,0.064949,0,3607.099365
420,0,7,10.909134,14.365867,1.313953,6.864513,23.351707,52.647208
421,1,7,25.458657,0.252246,1.358152,3.872578,0,1823.925035
422,2,7,96.455852,38.406448,2,22.104901,16.726898,76.832173
423,3,7,75.608988,0.043349,0,18.388781,0.001289,40.920095
424,4,7,5.496188,0.803858,0.00124,6.345025,23.799162,55.509739
425,5,7,1.14909,14.757323,0.235848,2.188815,5.448464,111.225956
426,6,7,2.04805,0,0.029199,1.135022,0,3514.412743
427,7,7,0.435095,0.179935,0.008106,0.296077,0,1989.225128
428,8,7,1.382589,1.154013,0.021896,1.793289,10.141682,83.818689
429,9,7,62.432392,0,0.173196,5.040636,0,3137.259724
430,10,7,9.014878,0.050061,0.01588,3.30779,0,251.243092
431,11,7,59.623272,19.839253,0.725725,22.104901,18.509344,70.816963
432,12,7,3.192883,0.637086,0.005969,3.464593,5.053486,57.496278
433,13,7,27.573386,0,0,0.055351,0,3608.188443
